aback|unexpected; surprised and disconcerted
abacus|counting device
abandon|desert, forsake
abase|degrade; to reduce or lower, as in rank, office, reputation, or estimation; humble
abash|to destroy the self-confidence, poise, or self-possession of; disconcert; make ashamed or embarrassed
abate|to reduce in amount, degree, intensity, etc.; lessen; diminish
abbey|monastery
abdicate|to renounce one's thrown
abecedarian|arranged alphabetically; rudimentary; elementary
abed|in bed
aberrant|departing from an accepted standard
aberration|(noun) a deviation from what is normal or expected
abet|encourage or assist someone to do wrong, in particular to commit a crime or offense
abetment|alleviation
abeyance|state of temporary disuse or suspension
abhor|detest
abide|submit, endure
abject|utterly hopeless, miserable, humiliating, or wretched
abjure|solemnly renounce a belief, claim or a cause
ablate|cut away; to remove or dissipate by melting, vaporization, erosion
ablution|the act of washing oneself; could be ceremonial or sacred containers used in the act
abolish|annul, to do away with
abominable|repugnantly hateful; detestable; loathsome
aborning|in birth; before being carried out
abortive|failing to succeed; unsuccessful
abound|to occur or exist in great quantities or numbers
aboveboard|(adjective) open and honest
abraded|rubbed off, worn away by friction
abrasion|rubbing, scraping, wearing off
abreast|side by side; beside each other in a line
abridge|shorten (a book, movie, speech or other text)
abrogate|appeal or do away with (a law, right or formal agreement)
abrupt|ending suddenly; curt or brusque in speech, manner
abscess|infected and inflamed tissue
abscond|to leave hurriedly and secretly, usually to avoid detection or arrest
absolve|to free from guilt or blame or their consequences
abstain|to refrain
abstemious|not self-indulgent, especially when eating or drinking
abstinence|the fact or practice of restraining oneself from indulging in something
abstract|existing in thought or as an idea but not having a physical or concrete existence
abstruse|difficult to understand
abundant|plentiful
abut|be next to or have a common boundary with (as in land)
abysmal|extremely bad; appalling
abyss|an extremely great depth
a cappella|without accompaniment
accede|assent or agree to a demand, request or treaty
accentuate|to give emphasis or prominence to
accessible|(of a place) able to be reached or entered
accession|attainment of rank
accessory|attachment, ornament, accomplice or partner
acclaimed|welcomed with shouts and approval
acclaim|praise enthusiastically and publicly
acclimate|to accustom or become accustomed to a new climate or environment; adapt
acclivity|ascent, incline
accolade|an award or privilege granted as a special honor or as an acknowledgement of merit
accommodate|adapt to another's needs
accommodating|helpful
accomplice|one who aids a law breaker
accord|agreement
accost|to approach and speak to someone
accouter|to equip or outfit, esp. with military clothes, equipment, etc
accredit|authorize
accrete|to grow together; adhere (usually fol. by to)
accretion|the growing of separate things into one
accrue|to accumulate, grow by additions
acerbic|(esp of a comment or style of speaking) sharp and forthright
acme|the highest point; summit; peak
acolyte|an assistant; an altar attendant in public worship; altar boy
acoustic|pertaining to sound
acquaint|familiarize
acquiesce|to accept something reluctantly but without protest
acquisition|something acquired, acquiring
acquisitive|tending or seeking to acquire and own, often greedily; eager to get wealth, possessions, etc.
acquit|free from blame
acrid|having an irritatingly strong and unpleasant taste or smell
acrimonious|caustic and bitter
acrimony|bitterness or ill feeling
acrophobia|fear of heights
actuate|induce, to start
acuity|sharpness; acuteness; keenness
acumen|the ability to make good judgements and quick decisions, typically in a particular domain 
adage|a proverb or short saying implying a general truth
adamant|refusing to be persuaded or to change one's mind
addendum|a thing to be added; an addition
adduce|to bring forward in argument or as evidence; cite as pertinent or conclusive; offer as an example
adept|very skilled; proficient; expert
adherent|a person who follows or upholds a leader, cause, etc.; supporter; follower
adhere|remain faithful, stick fast to
adhesion|adhering, support
adieu|farewell; good-bye
adipose|fatty; consisting of, resembling, or relating to fat
adjacent|lying near, next
adjourn|to defer or postpone to a later time
adjudicate|to pronounce or decree by judicial sentence; to sit in judgment (usually fol. by upon)
adjunct|something added to another thing but not essential to it; addition
adjutant|assistant to an officer
admonish|warn or reprimand someone firmly
admonition|an act or action which gives warning or firm reprimand to someone
admonitory|giving or conveying a warning or reprimand
ad nauseam|to a ridiculous degree
ado|busy activity; bustle; fuss
adroit|expert or nimble in th euse of the hands or body; resourceful or ingenious
adulation|obsequiece flattery; excessive admiration or praise
adulterate|render (something) poorer in quality by adding another substance; typically an inferior one
adulteration|making unpure, poorer in quality
adumbrate|report or represent in an outline; indicate faintly
adumbration|overshadow
advent|a coming into place, view, or being; arrival
adventitious|happening or carried on according to chance rather than design or inherent nature
adversary|one's opponent in a contest, conflict or dispute
adversity|difficulties or misfortune
advocate|a person who publicly supports or recommends a particular cause or policy
aegis|that which protects 
aesthete|(noun) one who professes great sensitivity to the beauty of art and nature
aesthetic|concerned with beauty or the appreciation of beauty
affable|friendly, good natured, or easy to talk to
affectation|n. fake or artificial behavior, often meant to impress or conceal the truth
affirmation|the action or process of asserting something as a fact, asserting strongly and publicy
affluent|(adjective) wealthy
afford|(verb) provide with an opportunity
agglomeration|a jumbled cluster or mass of varied parts
aggrandize|increase the power, status or wealth of
aggravate|make worse or more serious
aggregate|a whole formed by combining several (typically disparate) elements
aggress|to commit the first act of hostility or offense; attack first
agile|able to move quickly and easily
agitprop|agitation and propaganda, esp. for the cause of communism
agog|very eager or curious to hear or see something
agon|(in ancient Greece) a contest in which prizes were awarded in any of a number of events, as athletics, drama, music, poetry, and painting.; in literature a conflict esp. between the pro- and antagonist
ail|trouble; be ill
a la carte|priced seperately
alacrity|brisk and cheerful readiness
alchemy|process by which one metal is transformed into another (esp gold)
alcove|a recess, typically in the wall of a room or of a garden
aleatory|depending on the throw of a die or on chance; random
alight|descend from a train, bus or some other transport
allay|diminish or put at rest
allegiance|duty, support, loyalty
alleviate|to lessen the impact; to make (suffering, deficiency) less severe
aloof|not friendly or forthcoming; coll and distant
altruism|(noun) the quality of unselfish concern for the welfare of others
altruistic|one who is in the practice of disinterested selfless concern for the well-being of others
amalgamate|combine or unite to form one organization or structure
amalgam|(noun) a mixture of multiple things
ambidextrous|able to use the right hand equally well as the left
ambigous|open to more than one interpertation; having a double meaning
ambiguous|(adjective) open to more than one interpretation
ambit|circuit or compass; the boundaries or limits of a district or place; an area in which something acts or has power; scope
ambivalent|having mixed feelings or contradictory ideas about something or someone
ambuscade|an ambush
ameliorate|to make or become better, more bearable, or more satisfactory; improve; meliorate
amenable|open and responsive to suggestion; easily persuaded or controlled
amendment|improving
amiable|(adjective) friendly
amicable|having a spirit of friendliness
amity|friendship; peaceful harmony
amorphous|without a clearly defined shape or form
amplify|make large or fuller, increase the strength
amply|(adverb) more than is adequate
amuck|(adverb) in a frenzied or uncontrolled state
anachronism|(noun) something that is inappropriate for the given time period (usually something old).
anachronistic|pertaining to a thing belonging to or appropriate to a period other than that in which it exists, esp a thing that is conspicuously old fashioned in nature
analogous|comparable in certain respects, typically in a way that makes clearer the nature of the thing being compared
anarchist|someone who holds the belief in the abolition of all government and the organization of society on a voluntary, cooperative basis without recourse to force or compulsion
anathema|a person or thing detested or loathed
ancient|dating from a remote period; of great age
anecdote|a short and amusing or interesting story about a real life incident or person
anemic|(adjective) lacking energy and vigor
animadversion|criticism or censure; a comment or remark, esp. a critical one
animosity|(noun) intense hostility
annul|put an end to
anodyne|(noun) something that soothes or relieves pain
anoint|v. to choose for a particular office or position v. to use oil on a person in a religious ceremony
anomalous|(adjective) not normal
anomaly|something that deviates from what is standard, normal or expected
anonymous|(of a person) not identified by name; of unkown name
antagonist|a person who actively opposes or is hostile to someone or something; an adversary
antedated|(verb) precede in time
antediluvian|of or belonging to the time before the biblical Flood; rediculously old-fashioned
anthropomorphic|ascribing human form or attributes to a being or thing not human, esp. to a deity
antic|(adjective) ludicrously odd
antidote|a medicine taken or given to counteract a particular poison
antipathy|(noun) an intense feeling of dislike or aversion
antiquarian|pertaining to antiquaries or to the study of antiquities
antiquated|old-fashioned or outdated
antithesis|a person or thing that is the direct opposite of something or something else
antithetical|(adjective) sharply contrasted in character or purpose
apartheid|(in South Africa) a policy or system of segregation or discrimination on grounds of race
apathetic|having or showing little or no emotion
apathy|lack of interest, enthusiasm or concern
apex|(noun) the highest point
aphorism|(noun) a short instructive saying about a general truth
aphoristic|(adjective) something that is a concise and instructive of a general truth or principle
aplomb|self-confidence or assurance
apocryphal|(of a story or statement) of doubtful authenticity, although widely circulated as being true
apogee|the point in the orbit of the moon or a satellite at which it is furthest from the earth; opposite of perigee; the highest point in the development of something
apostasy|the abondonment or renunciation of a religious or political belief
apostate|a person who renounces a religious or political belief or principle
apothegm|(noun) a short, pithy instructive saying
apotheosis|the highest point in the development of something; culmination or climax
apparition|a supernatural appearance of a person or thing; esp a ghost
appease|to bring to a state of peace, quiet, ease or calm; pacify
appellation|a name, title, or designation
apposite|suitable; well-adapted; pertinent; relevant
appreciable|(adjective) large enough to be noticed (usu. refers to an amount)
apprehension|anticipation of adversity or misfortune; suspicion of fear or future trouble or evil
apprehensive|grasping, understanding; fear, unhappy feeling about future
apprise|to give notice to; inform; advise
approbation|approval; commendation
approbatory|(adjective) expressing praise or approval
appropriate|(verb) to give or take something by force
appurtenance|an accessory or other item associated with a particular activity or style of living
appurtenant|(adjective) supply added support
a priori|reasoning based on general principles
apt|well-suited, quick-witted
arable|capable of producing crops; suitable for farming
arbitrary|contingent solely upon one's discretion; subject to individual will or judgement without restriction
arboreal|of or pertaining to trees; treelike
arcane|(adjective) requiring secret or mysterious knowledge
arcanum|a secret or mystery
arch|(adjective) to be deliberately teasing
archaic|marked by the characteristics of an earlier period; antiquated
ardently|with full of ardour
ardor|great warmth of feeling; fervor; passion
ardour|enthusiasm
arduous|loft, high, steep, difficult to climb
argot|slang or jargon of a particular group
arid|being without moisture; extremely dry; parched
arouse|to stir to action or strong response; excite
arrant|downright; thorough; unmitigated; notorious
arrhythmic|without rhythm or regularity
arriviste|a self-seeking person who has recently acquired wealth or social status
arrogance|offensive display of superiority or self-importance; overbearing pride
arrogate|(verb) seize and control without authority
artful|(adjective) exhibiting artistic skill
articulate|uttered clearly in distinct syllables; capable of speech; not speechless
artifact|any object made by human beings, esp. with a view to subsequent use
artifice|a clever trick or stratagem; a cunning, crafty device or expedient; wile
artisan|a person skilled in an applied art; a craftsperson
artless|(adjective) without cunning or deceit
artlessness|(noun) the quality of innocence
ascendancy|governing or controlling influence; domination
ascend|go or come up
ascent|the act of ascending
ascertain|get to know
ascetic|a person who dedicates his or her life to a pursuit of contemplative ideals and practices extreme self-denial or self-mortification for religious reasons
ascribe|to credit or assign; attribute; impute
askance|(adverb) with a look of suspicion or disapproval
asperity|harshness or sharpness of tone, temper, or manner; severity; acrimony
aspersion|a damaging or derogatory remark or criticism; slander
aspire|to long, aim, or seek ambitiously; be eagerly desirous, esp. for something great or of high value
assail|(verb) attack in speech or writing
asset|valuable quality, something that has money value
assiduously|(adverb) with care and persistence
assiduous|showing great care and perseverance
assuage|to make milder or less severe; relieve; ease; mitigate
assumption|something supposed but not proved
asterisk|the mark * (eg. omitted letters)
astonishment|n. total surprise, shock
astringent|harshly biting; caustic
astute|of keen penetration or discernment; sagacious
asylum|an institution for the maintenance and care of the mentally ill, orphans, or other persons requiring specialized assistance
atavism|reversion to an earlier type; throwback
atavistic|of, relating to, or characterized by atavism; reverting to or suggesting the characteristics of a remote ancestor or primitive type
atelier|a workshop or studio, esp. of an artist, artisan, or designer
atonement|satisfaction or reparation for a wrong or injury; amends
atrophy|degeneration, decline or decrease, as from disuse
attenuate|(verb) to weaken (in terms of intensity); to taper off/become thinner.
attribute|to regard as resulting from a specified cause; consider as caused by something indicated
audacious|extremely bold or darin
audacity|(noun) aggressive boldness in social situations
augment|(verb) enlarge or increase; improve
augury|divination; an omen, token or indication
auspicious|conducive to success, favorable
austere|severe in manner or appearance; uncomprimising; strict; forbidding
auteur|a filmmaker whose individual style and complete control over all elements of production give a film its personal and unique stamp
authoritarian|favoring complete obedience or subjection to authority as opposed to individual freedom
autochthonous|(of an inhabitant of a place) indigenous rather than descended from migrants or colonists; (geology) formed in its present position
autocrat|an absolute ruler; a person invested with or claiming to exercise absolute authority
autocratic|(adjective) characteristic of an absolute ruler or absolute rule; having absolute sovereignty
autonomously|(adverb) In an autonomous or self-governing manner.
autonomous|self-governing; independent; subject to its own laws only
auxiliary|additionaly; supplementary; reserve
avarice|(noun) greed (one of the seven deadly sins)
avaricious|(adjective) excessively greedy
avatar|the descent of a deity to the earth in an incarnate form or some manifest shape; the incarnation of a god; an embodiment or personification, as of a principle, attitude, or view of life; a graphical image that represents a person, as on the Internet
aversion|a strong feeling of dislike, opposition, repugnance
aver|to assert or affirm with confidence
avert|to turn away or aside
aviary|a large cage or a house or enclosure in which birds are kept
avid|eager, greedy
avoirdupois|Weight or heaviness, especially of a person
avow|to declare frankly or openly; own; acknowledge; confess; admit
axiom|a self-evident truth that requires no proof
badger|(verb) to pester
badinage|playful talk or banter
baleful|full of menacing or malign influences; pernicious
balk|(verb) refuse to comply
balloon|swell out like balloon
balm|sweet-smelling oil; something giving peace of mind; consolation
banality|(noun) a trite or obvious remark
banal|uninteresting
band|flat, thin strip of material; group; range of frequences
banish|(verb) expel from a community, residence, or location; drive away
barrage|artificial obstacle built across a river
barren|not good enough, unable to have young ones, without value
base|(adjective) the lowest, class were without any moral principles
bask|in enjoy warmth and light
bastardization|(noun) an act that debases or corrupts
beatific|(adjective) blissfully happy
beau ideal|a perfect or an idealized type or model
becoming|(adjective) appropriate, and matches nicely
bedaub|smear or daub with a sticky substance
bedew|to wet with or as if with water or moisture
begrudge|(verb) to envy someone for possessing or enjoying something
beg|(verb) to evade or dodge (a question)
beholden|obligated; indebted
behooves|(verb) to be one's duty or obligation
belie|(verb) to give a false representation to; misrepresent
belittle|(verb) lessen the importance, dignity, or reputation of
bellicose|inclined or eager to fight; aggressively hostile; belligerent; pugnacious
belligerently|waging war
belligerent|(person, nation) waging war
bemoan|(verb) express discontent or a stong regret
bend|cause something to be out of a straight line
benefaction|an act of conferring a good deed
benevolence|wish or activity in doing good
benighted|(adjective) fallen into a state of ignorance
benign|(adjective) kind
bereft|(adjective) unhappy in love; suffering from unrequited love
besiege|(verb) harass, as with questions or requests; cause to feel distressed or worried
besmirch|(verb) damage the good name and reputation of someone
besotted|(adjective) strongly affectionate towards
bete noire|a person or thing especially disliked or dreaded; bane; bugbear
betimes|early; in good time
betray|(verb) to reveal or make known something, usually unintentionally
biased|prejudice
bibelot|a small object of curiosity, beauty, or rarity
bibulous|fond of or addicted to drink; absorbent; spongy
biddable|willing to do what is asked; obedient; tractable; docile
bier|movable frame on which a coffin or corpse is placed before burial or cremation
bifurcate|to divide or fork into two branches
bigot|stubborn, narrow-minded person
bijou|small and elegant (especially describing a house or business)
bilious|(adjective) irritable; always angry
bine|stem of a vine like plant or creeping portion of a plant
blandishment|a flattering or pleasing statement or action used to persuade someone gently to do something
blandness|polite manner, comforting, uninteresting
blatant|(adjective) without any attempt at concealment; completely obvious
bleak|(adjective) having a depressing or gloomy outlook
blinkered|(adjective) to have a limited outlook or understanding
blithe|happy or joyous; showing a casual and cheerful indifference considered to be callous or improper
blueprint|plan, scheme, photographic print
boggle|be alarmed, hesitate, amazed
bogus|sham, counterfeit, not genuine
bolster|give greatly needed support
bombastic|high sounding with little meaning
bombast|speech too pompous for an occasion; pretentious words
bon vivant|a person who lives luxuriously and enjoys good food and drink
boon|something to be thankful for; blessing; benefit
boorish|(adjective) ill-mannered and coarse or contemptible in behavior or appearance
bouleversement|an overturning; convulsion; turmoil
bowdlerize|to remove or modify the parts (of a book, for example) considered offensive
brackish|slightly salt; having a salty or briny flavor
braid|strands of hair woven together, something edging sloth or garments
bravado|a pretentious, swaggering display of courage
brazen|(adjective) unrestrained by convention or propriety
breach|opening, broken place, breaking
bricolage|Something made or put together using whatever materials happen to be available
bridle|(verb) the act of restraining power or action or limiting excess
brio|vigor or vivacity of style or performance
brisk|active, lively
brisket|breast of an animal
bristle|(verb) react in an offended or angry manner
brittle|easily broken
broach|begin discussion of, veer
broadside|(noun) a strong verbal attack
brobdingnagian|gigantic; a giant
bromide|a compound of bromine and another element; a dull person with conventional thoughts; a commonplace or conventional saying
brook|(verb) put up with something or somebody unpleasant
browbeat|(verb) be bossy towards; discourage or frighten with threats or a domineering manner
brusquely|(adverb) in a blunt, direct manner
buck|(verb) resist
bucolic|Relating to or typical of the countryside or its people; rustic; a country person
bulwark|a wall of earth or other material built for defense; a rampart
